ra,dec,glon,glat,elon,elat,raerr,decerr,pmra,pmdec,pmraerr,pmdecerr,mjd,deltamjd,umag,urms,uerr,uasemi,ubsemi,utheta,gmag,grms,gerr,gasemi,gbsemi,gtheta,rmag,rrms,rerr,rasemi,rbsemi,rtheta,imag,irms,ierr,iasemi,ibsemi,itheta,zmag,zrms,zerr,zasemi,zbsemi,ztheta,ymag,yrms,yerr,yasemi,ybsemi,ytheta,vrmag,vrrms,vrerr,vrasemi,vrbsemi,vrtheta,asemi,asemierr,bsemi,bsemierr,theta,thetaerr,fwhm,class_star,ebv,random_id,pix,ndet,nphot,htm9,ring256,nest4096,ndetu,nphotu,ndetg,nphotg,ndetr,nphotr,ndeti,nphoti,ndetz,nphotz,ndety,nphoty,ndetvr,nphotvr,flags,id,rmsvar,madvar,iqrvar,etavar,jvar,kvar,chivar,romsvar,nsigvar,variable10sig,parent,Vmag
146.07490778860802,-21.3209268689674,255.07911773445787,23.697788710982554,156.73229703202338,-32.71069104398399,0.022263,0.017761,,,,,57820.2971809837,0.0,99.99,,9.99,,,,20.28125,,0.029205,0.447754,0.443115,177.875,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.447754,0.006866,0.443115,0.006718,177.875,56.59375,0.5,0.917969,0.05721,80.91127,134095,1,1,2584321,536479,164874703,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,134095_15501,,,,,,,,,,0,0,67.299411239624
146.07198577363437,-21.316173992832905,255.07334261405563,23.699215339333364,156.72710551963723,-32.70738684749617,0.202637,0.202637,,,,,57827.17999979714,0.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,21.390625,,0.192017,0.617188,0.444824,39.1875,99.99,,9.99,,,,99.99,,9.99,,,,0.617188,0.043488,0.444824,0.031143,39.1875,52.0,1.725586,0.008766,0.05729,47.454544,134095,1,1,2584321,536479,164874703,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,134095_16328,,,,,,,,,,0,0,99.97999786376953
146.07347275576194,-21.318083581260396,255.07588770222003,23.69884873917247,156.72951006461267,-32.708600032449226,0.029008,0.029157,34.2651,-11.111415,67.03468,67.13284,57769.35372293406,709.0249,99.99,,9.99,,,,20.549562,0.09223,0.024022,1.043823,0.947021,153.90625,20.314146,0.038932,0.022651,1.181396,1.020386,165.9375,19.976482,0.103488,0.030631,1.026074,0.88877,118.70625,19.850195,0.084245,0.048002,1.043783,0.784505,153.5,99.99,,9.99,,,,99.99,,9.99,,,,1.072662,0.008505,0.916687,0.006976,145.83789,16.78723,3.533813,0.007326,0.057248,67.44781,134095,16,16,2584321,536479,164874703,0,0,4,4,4,4,5,5,3,3,0,0,0,0,2,134095_7791,0.084753,0.072283,0.070045,0.444998,0.310785,0.848711,0.345825,1.25229,1.936638,0,0,20.400666770935057
146.07938181816658,-21.321713932353525,255.0829395490502,23.700185263104533,156.73722027799965,-32.7097800648633,0.087402,0.087699,-550.6379,-237.45268,1033.5421,1035.4756,57797.62587526472,66.97909,99.99,,9.99,,,,99.99,,9.99,,,,22.880478,0.159515,0.081765,0.424072,0.380371,56.052082,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.424072,0.02908,0.380371,0.025378,56.052082,30.765423,1.84082,0.676514,0.057095,72.91218,134095,3,3,2584321,536479,164874701,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,134095_10112,0.159515,0.277988,0.144783,0.40659,0.17477,0.837071,0.592861,1.289339,2.113991,0,0,54.48538108825684
146.0842243804629,-21.32143635279828,255.08620273288653,23.703576343349724,156.74202235212562,-32.70775504254016,0.023744,0.023776,24.896017,-11.750745,65.44237,65.55085,57766.02657909905,709.0249,99.99,,9.99,,,,22.786787,0.141045,0.081649,0.406657,0.346436,101.114586,22.020063,0.093944,0.043176,0.559753,0.480225,55.33374,21.611519,0.075936,0.055082,0.4625,0.428613,63.6875,21.47433,0.220251,0.067742,0.455485,0.405436,70.44271,99.99,,9.99,,,,99.99,,9.99,,,,0.475863,0.010706,0.421305,0.009397,70.29629,15.660367,1.464909,0.694808,0.056962,19.299784,134095,15,15,2584321,536479,164874701,0,0,3,3,4,4,5,5,3,3,0,0,0,0,0,134095_7752,0.134001,0.157062,0.128667,0.443778,0.129863,0.798177,0.358462,1.187274,1.024707,0,0,22.324420089721677
146.0773429858372,-21.319528501998832,255.07978480148418,23.700382667309064,156.7341250944811,-32.70851486879827,0.006816,0.006883,-15.135,-9.040712,14.557834,15.049711,57766.026715847474,709.0249,99.99,,9.99,,,,22.920193,0.080844,0.072095,0.434977,0.355632,94.25,21.38551,0.053035,0.024324,0.598755,0.550659,124.90625,20.236044,0.034528,0.015896,0.62041,0.584668,75.5875,19.703032,0.012758,0.015018,0.566406,0.542806,102.927086,99.99,,9.99,,,,99.99,,9.99,,,,0.566748,0.007455,0.521419,0.006185,97.93958,10.691387,1.138184,0.90695,0.057146,59.786774,134095,15,15,2584321,536479,164874701,0,0,3,3,4,4,5,5,3,3,0,0,0,0,0,134095_7778,0.049871,0.046331,0.05085,0.584238,-0.349326,0.889873,0.224661,0.829592,-0.664538,0,0,22.004729614257812
146.0754456153596,-21.315131529399576,255.07502075361728,23.70223433786218,156.73014306739472,-32.7051636476704,0.210938,0.211182,,,,,57753.32060311688,0.0,99.99,,9.99,,,,99.99,,9.99,,,,22.546875,,0.18457,0.569824,0.521484,47.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.569824,0.039337,0.521484,0.036438,47.0,45.21875,1.868164,0.035919,0.057203,52.525795,134095,1,1,2584321,536479,164874703,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,134095_14955,,,,,,,,,,0,0,54.28855537414551
146.08216190074884,-21.31675832831003,255.0811027687427,23.705517871549095,156.7377411001447,-32.704205728819886,0.096028,0.096194,-737.83826,248.08476,980.8676,982.4658,57799.914984817,73.84641,99.99,,9.99,,,,99.99,,9.99,,,,22.73221,0.387872,0.07586,0.502441,0.383301,87.6875,22.625,,0.209106,0.252441,0.180908,111.0,99.99,,9.99,,,,99.99,,9.99,,,,99.99,,9.99,,,,0.419108,0.036832,0.315837,0.027505,95.458336,10.545569,2.163086,0.378499,0.057013,77.05048,134095,3,3,2584321,536479,164874701,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,134095_14954,0.387872,0.45173,0.225861,0.810286,2.744994,0.827061,2.731436,6.389598,4.784945,0,0,54.397901992797856
146.08677113675404,-21.31816685269533,255.08550289414785,23.707564781330962,156.74309152159827,-32.7038169134215,0.003615,0.003717,-13.9598,4.133776,8.817025,9.593718,57769.35372293406,709.0249,99.99,,9.99,,,,17.513268,0.013048,0.00419,0.898804,0.84021,37.390625,16.726036,0.00783,0.002424,0.874023,0.791138,39.28125,16.425081,0.012865,0.001303,0.926465,0.836328,37.825,16.290354,0.007482,0.001876,0.777832,0.683268,37.84375,99.99,,9.99,,,,99.99,,9.99,,,,0.878571,7.85E-4,0.797302,6.48E-4,38.083984,12.971916,1.055786,0.987396,0.056879,52.72185,134095,16,16,2584321,536479,164874701,0,0,4,4,4,4,5,5,3,3,0,0,0,0,2,134095_7739,0.010959,0.011583,0.010572,0.527471,-0.684775,0.811683,0.156915,0.543425,0.70936,0,0,17.038800964355467
146.0898357509022,-21.319534578410195,255.08876211908589,23.708621156816914,156.74684993805954,-32.70395500032211,0.035432,0.035502,-24.377111,-22.586843,105.93118,105.99528,57758.12695544675,709.0249,99.99,,9.99,,,,99.99,,9.99,,,,22.120834,0.16535,0.044646,0.545776,0.493835,112.671875,21.810595,0.077919,0.0713,0.459863,0.411475,102.98633,21.293283,0.060312,0.071572,0.486328,0.407389,82.00326,99.99,,9.99,,,,99.99,,9.99,,,,0.495117,0.012828,0.437907,0.011183,100.96908,16.73861,1.903239,0.315186,0.056791,37.064465,134095,12,12,2584321,536479,164874701,0,0,0,0,4,4,5,5,3,3,0,0,0,0,0,134095_7817,0.112039,0.091412,0.077245,0.435797,-0.172755,0.764601,0.301686,0.871704,-0.259445,0,0,54.03719139099122
